,id,nombre,2014_alineaciones,2014_puntos_por_partido,2014_minutos_jugados,2014_minutos_por_gol,2014_minutos_por_asistencia,2015_alineaciones,2015_puntos_por_partido,2015_minutos_jugados,2015_minutos_por_gol,2015_minutos_por_asistencia,2016_alineaciones,2016_puntos_por_partido,2016_minutos_jugados,2016_minutos_por_gol,2016_minutos_por_asistencia,2017_alineaciones,2017_puntos_por_partido,2017_minutos_jugados,2017_minutos_por_gol,2017_minutos_por_asistencia,2018_alineaciones,2018_puntos_por_partido,2018_minutos_jugados,2018_minutos_por_gol,2018_minutos_por_asistencia
127,340950,diogo-jota,12,1.83,754,189,188,35,1.51,3029,216,303,38,2.13,2056,228,294,46,2.09,3672,204,612,37,1.59,2630,263,376
128,148368,divock-origi,44,1.34,2956,328,739,34,1.56,1688,169,563,43,1.86,2081,189,520,37,1.08,2375,339,792,22,2.23,763,95,382
129,197170,djaniny,46,1.59,2951,268,738,36,1.42,2599,186,520,33,1.48,2201,275,550,42,1.38,3221,161,805,31,2.0,2321,97,290
131,177843,domenico-berardi,35,1.43,2852,190,219,32,1.72,2451,306,306,25,1.48,2042,204,186,33,1.24,2424,485,1212,37,1.14,3058,306,764
134,75615,douglas-costa,33,1.91,2181,436,312,43,2.44,3408,487,189,34,2.32,1925,275,214,47,2.32,2912,485,224,25,2.44,969,969,969
135,114937,dudu,28,1.39,2236,224,319,37,1.92,3048,610,305,33,1.73,2678,268,298,42,2.14,3448,383,192,46,2.0,3933,358,246
136,73794,duvan-zapata,31,1.52,1136,142,379,27,1.11,1573,197,393,39,1.15,3244,295,649,32,1.31,2205,200,551,48,1.85,3654,131,457
137,196522,dwight-gayle,29,1.14,1433,143,716,20,1.25,1024,146,1024,34,1.88,2287,99,572,38,1.05,2173,362,543,41,1.83,2946,123,368
138,50202,eden-hazard,52,2.23,4441,234,342,43,1.4,3079,513,385,43,2.37,3373,198,482,52,1.83,3804,224,293,52,1.98,3878,185,228
139,109217,edin-visca,35,1.69,3076,385,615,41,1.68,3555,209,356,43,2.0,3698,370,284,43,2.05,3638,260,214,38,1.82,3370,241,241
145,111078,emil-forsberg,27,1.15,2375,1188,396,33,1.94,2671,334,382,31,1.94,2427,303,110,33,1.39,2219,444,555,29,2.07,1753,250,195
147,282544,emiliano-rigoni,48,1.48,2832,405,472,20,1.7,1533,307,256,33,1.82,2607,237,869,28,1.64,1858,310,372,24,1.71,1291,215,430
149,208848,emre-kilinc,32,1.28,2695,245,337,36,1.19,2852,570,570,36,1.72,2941,368,210,36,1.44,2843,1422,406,32,1.16,2639,377,377
150,251106,enes-unal,31,1.52,788,788,394,28,1.57,1439,131,720,33,1.36,2806,148,702,38,1.13,2249,375,562,34,1.0,2174,362,725
151,291110,enzo-crivelli,12,1.33,283,283,283,41,1.17,2189,365,438,24,1.21,2084,208,2084,31,1.19,1983,661,661,35,0.89,2426,404,2426
152,111630,erik-lamela,46,1.59,2919,584,292,44,1.84,3072,279,307,14,1.86,944,472,135,34,1.97,1380,345,197,33,1.94,1550,258,517
153,159883,ernesto-torregrossa,36,1.06,2764,346,461,18,1.83,1008,336,252,29,1.07,1449,290,483,30,1.27,2211,201,1106,31,1.87,2693,207,245
154,296783,ezequiel-ponce,10,0.9,515,515,515,11,2.18,954,95,238,27,0.44,1304,652,1304,32,1.16,1408,469,1408,43,1.72,3195,152,799
156,223029,fabio-martins,43,1.19,3524,235,1762,24,1.13,1092,1092,1092,36,1.33,2647,331,882,40,2.1,1708,244,342,16,2.44,533,533,533
157,237125,famara-diedhiou,28,1.39,1443,481,1443,37,1.54,3128,142,782,36,1.17,2638,293,1319,36,1.39,2542,182,847,44,1.55,3447,265,862
158,197300,federico-bernardeschi,12,2.25,473,158,236,41,1.59,2834,472,567,42,1.64,2851,204,570,31,2.29,1104,221,184,39,2.23,2206,735,368
161,38607,federico-di-francesco,29,1.45,1496,299,374,38,1.13,2877,360,575,27,1.19,1306,261,326,25,0.84,1688,1688,563,21,1.38,1181,591,394
162,99180,federico-santander,12,1.67,934,156,234,36,2.22,2639,155,660,44,2.2,3445,203,492,32,1.66,2238,160,448,34,1.12,2121,265,1060
164,159372,felipe-anderson,37,1.81,2527,230,253,47,1.43,2924,325,585,41,1.78,3244,649,270,32,1.59,1760,220,196,40,1.38,3197,320,639
166,70689,filippo-falco,35,1.29,2416,1208,201,22,1.27,939,235,939,36,1.58,2681,447,383,17,0.88,799,799,799,33,1.79,2389,341,239
167,202278,flavien-tait,20,0.75,1498,1498,374,32,1.44,2640,660,377,16,1.63,634,317,158,34,1.06,2519,630,630,37,1.14,3071,614,341
168,106270,florian-kainz,38,1.71,2951,738,369,47,1.81,3928,357,187,15,1.53,332,166,111,34,1.26,1949,487,487,24,1.83,1774,887,253
169,152963,florian-niederlechner,35,1.4,2849,190,285,28,1.93,1267,158,634,36,1.42,2531,211,844,14,1.21,1049,525,524,26,0.88,1129,282,1129
170,184892,florian-thauvin,38,1.71,2655,531,379,38,1.0,1856,371,928,43,1.65,3500,233,292,54,1.89,4161,160,245,37,1.46,2942,163,327
173,157160,frank-acheampong,48,1.73,3252,1084,542,38,1.74,2600,289,433,57,1.86,3898,390,780,26,1.19,2313,136,578,31,1.42,2688,299,224
175,363205,gabriel-jesus,20,1.3,1302,326,651,32,2.0,2660,156,665,11,2.45,741,106,148,42,2.5,2594,153,519,47,2.6,2253,107,376
178,170895,garry-rodrigues,32,0.91,1624,812,1624,36,1.56,2708,387,451,40,1.7,2628,329,239,40,2.05,2767,277,252,31,1.32,2420,484,605
179,257448,gelson-martins,42,1.57,2518,420,252,42,2.36,1793,256,448,44,1.86,3642,520,280,52,2.13,4368,336,336,29,1.69,1919,384,480
182,129476,gerard-deulofeu,28,2.04,1329,443,133,33,1.27,1835,459,141,31,1.26,2041,510,510,24,1.96,1330,443,443,33,1.3,2283,190,457
183,177467,gerard-moreno,39,1.79,2629,164,526,36,1.19,2157,308,719,38,1.47,3400,262,850,44,1.34,3884,204,1942,49,1.24,3086,237,1029
184,146752,gianluca-caprari,24,1.58,944,472,944,43,1.74,3196,246,246,36,0.58,3202,356,640,37,1.43,2064,295,2064,24,1.54,1158,193,579
187,225122,goncalo-guedes,41,1.71,2908,364,194,36,2.22,2113,302,211,39,2.46,2283,326,285,40,2.05,2727,455,248,39,1.79,2471,309,618
190,71608,gustavo-bou,55,1.91,4360,161,623,14,1.43,870,145,290,23,1.74,1985,199,397,38,1.37,2912,291,364,42,1.79,2969,141,270
191,254230,gyasi-zardes,31,1.55,2590,324,648,25,1.8,1948,278,244,24,1.04,1988,994,663,36,1.58,3248,162,1624,28,1.36,2478,191,1239
